match_id,team_id,player_id,minute,half,x,y,distance,angle,is_header,is_right_foot,is_left_foot,is_other_body,shot_type_Open_Play,shot_type_Free_Kick,shot_type_Penalty,shot_type_Corner,shot_type_Throw_In,shot_type_Set_Piece,first_time,one_on_one,deflected,redirected,under_pressure,n_defenders,n_attackers,gk_distance,big_chance,dist_bin,angle_bin,xg_target,is_goal,outcome,play_pattern,technique
3754217,33,3621.0,87,2,97.9,41.4,22.14,0.327,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,9,5,9.36,0,4,1,0.0802,0,Blocked,From Free Kick,Normal
3754217,33,6623.0,90,2,107.1,40.7,12.92,0.5515,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,7,4,1.6,0,2,2,0.0938,0,Blocked,From Throw In,Normal
3754217,33,3621.0,90,2,103.7,33.6,17.51,0.3864,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,7,4,3.01,0,3,1,0.1494,0,Blocked,From Throw In,Normal
3754217,1,3668.0,91,2,115.1,44.4,6.59,0.8747,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,6,1,2.06,1,1,3,0.3388,0,Wayward,From Throw In,Normal
3754217,1,3517.0,92,2,109.7,41.5,10.41,0.6711,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,9,1,1.61,0,2,2,0.1675,0,Saved,From Throw In,Normal
3754217,33,28100.0,92,2,102.2,32.6,19.28,0.3489,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,9,3,2.06,0,3,1,0.0762,0,Blocked,Regular Play,Normal
3754217,33,5594.0,94,2,88.4,53.9,34.52,0.1938,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,9,7,3.53,0,6,0,0.0061,0,Blocked,From Free Kick,Normal
3754117,59,11117.0,5,1,98.1,54.3,26.16,0.2346,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,8,3,2.19,0,5,0,0.0415,0,Saved,From Throw In,Normal
3754117,1,3604.0,7,1,108.3,40.2,11.7,0.6062,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,11.7,1,2,2,0.7835,1,Goal,Other,Normal
3754117,1,3604.0,19,1,108.6,43.4,11.9,0.5773,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,9,5,1.12,0,2,2,0.0836,0,Blocked,From Free Kick,Normal
3754117,1,3394.0,19,1,111.6,33.8,10.44,0.5715,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,9,6,1.14,0,2,2,0.0578,0,Off T,From Corner,Volley
3754117,59,9533.0,20,1,108.0,26.3,18.21,0.2693,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,9,4,4.41,0,3,1,0.0682,0,Off T,From Goal Kick,Lob
3754117,59,3450.0,24,1,105.6,22.7,22.51,0.2105,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,7,2,2.98,0,4,0,0.0241,0,Blocked,From Counter,Normal
3754117,59,3436.0,30,1,92.0,35.3,28.39,0.253,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,10,4,6.76,0,5,1,0.0319,0,Off T,From Goal Kick,Normal
3754117,1,3517.0,37,1,105.7,36.9,14.63,0.4807,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,4,2,7.62,1,2,1,0.719,1,Goal,Regular Play,Normal
3754117,1,3517.0,40,1,96.9,40.2,23.1,0.3142,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,9,6,3.51,0,4,1,0.0378,0,Blocked,Regular Play,Normal
3754117,59,9642.0,42,1,115.6,46.6,7.93,0.5766,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,11,4,1.41,0,1,2,0.1037,0,Off T,From Corner,Normal
3754117,59,19362.0,45,1,107.9,37.6,12.34,0.5681,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,9,4,0.9,0,2,2,0.0621,0,Wayward,Regular Play,Normal
3754117,59,7153.0,47,2,97.3,53.8,26.57,0.2356,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,9,6,2.82,0,5,0,0.025,0,Off T,Regular Play,Normal
3754117,59,19362.0,48,2,112.5,44.6,8.8,0.7089,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,7,4,0.95,0,1,2,0.0911,0,Off T,Regular Play,Normal
3754117,59,3436.0,49,2,93.5,50.2,28.4,0.2399,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,9,4,4.8,0,5,0,0.0224,0,Blocked,Regular Play,Normal
3754117,59,5685.0,49,2,90.9,41.6,29.14,0.2495,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,9,6,4.7,0,5,0,0.023,0,Saved,Regular Play,Normal
3754117,59,7153.0,54,2,94.3,56.0,30.27,0.2054,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,10,5,0.89,0,6,0,0.0226,0,Blocked,Regular Play,Normal
3754117,59,11117.0,55,2,115.2,44.1,6.31,0.9254,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,7,4,1.66,0,1,3,0.2272,0,Off T,From Throw In,Normal
3754117,59,6800.0,58,2,95.8,38.9,24.22,0.2996,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,8,3,1.41,0,4,1,0.0326,0,Blocked,From Free Kick,Normal
3754117,59,7153.0,59,2,99.9,45.9,20.95,0.333,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,10,6,2.48,0,4,1,0.0403,0,Off T,Regular Play,Half Volley
3754117,59,9533.0,62,2,101.8,23.4,24.63,0.2208,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,7,3,5.81,0,4,0,0.0393,0,Off T,From Throw In,Normal
