match_id,statsbomb_xg,pred_xg,goals,shots
7529,2.4567,1.7983587064296185,1.0,24
7531,3.1126,3.36461171881272,2.0,37
7541,3.1269,3.1506970308356177,3.0,24
7544,2.0807,2.0712148790791156,1.0,22
7545,3.0498000000000003,2.648791606138062,3.0,24
7548,3.255,3.0881421370352675,2.0,27
7555,2.5009,2.8938234357991233,3.0,24
7564,2.1555999999999997,2.0393785871809493,3.0,17
7567,4.481,4.921644109857838,2.0,41
7570,2.1662,2.1041471667586267,1.0,26
7576,3.0957,2.9181237710636903,6.0,22
7581,10.701699999999999,7.808354102410734,7.0,45
7582,9.8989,7.210992439593592,8.0,41
7584,3.6115,4.2154790636383295,5.0,40
8655,2.2489,2.2234263777409264,1.0,28
265894,3.2264,3.050283546342138,3.0,25
267273,4.0165999999999995,4.288718346311379,3.0,28
267576,1.2505000000000002,1.401644482895299,3.0,17
3753975,1.673,1.8529075907273884,2.0,25
3753977,2.1501,2.0661856176128004,3.0,18
3753981,1.0975,1.8581860297472537,0.0,22
3753984,1.7886,2.3928948767980986,3.0,26
3753992,3.2825,3.1769440332268934,3.0,29
3753995,2.1019,2.0237402839161,4.0,25
3753999,2.523,2.861082575710795,3.0,26
3754009,2.1241,2.1670932610650575,2.0,28
3754010,2.5361000000000002,2.554286730441571,3.0,28
3754016,2.2076,2.5507094489278233,4.0,25
3754020,2.6224999999999996,2.3528701214352443,1.0,32
3754026,2.4348,2.3078841996856543,3.0,29
3754030,1.9584,2.045263440534939,1.0,25
3754046,2.7212,2.970253731009314,2.0,33
3754057,3.173,3.941565287450576,3.0,25
3754060,1.8616,2.5005036174728965,2.0,26
3754065,2.54,2.7313010584536515,1.0,31
3754071,3.4764,2.7927671782202252,5.0,18
3754072,3.2426,3.8949599058608566,1.0,29
3754076,3.1201,2.8528521641620164,4.0,31
3754080,2.3083,2.2868394257340543,1.0,29
3754083,4.3468,4.004851544250855,3.0,40
3754085,3.5962,3.9001435785709777,3.0,26
3754087,2.9562,3.129847356897688,2.0,33
3754089,2.2943000000000002,2.5586030886105227,3.0,22
3754092,3.0957,2.3787084591257934,4.0,29
3754093,0.7845,0.6478852753088957,0.0,14
3754104,2.9521,2.8081343015987104,2.0,28
3754106,2.715,3.426261138190719,5.0,32
3754110,2.7343,2.5479242258496573,4.0,26
3754118,3.0089,3.018221566167608,4.0,26
3754122,3.3733,2.9785404456357316,3.0,29
3754124,2.4892,2.9670821067665303,1.0,30
3754132,2.5285,2.6637309139712295,2.0,26
3754137,1.7745,2.1244342311658264,2.0,25
3754143,2.0034,1.6440775139677097,1.0,16
3754146,2.9352,2.6257687442963094,4.0,22
3754147,3.2424999999999997,2.255909417840253,3.0,24
3754154,1.1127,1.2667227418277809,4.0,19
3754163,2.8123,2.657697165026154,2.0,26
3754180,2.4676,2.2394238441547705,2.0,32
3754192,2.0428,3.033021287009344,3.0,23
3754194,2.5021,2.6215956514874543,2.0,33
3754198,1.502,1.2921988387942998,0.0,25
3754205,1.9334,2.0073159593814767,0.0,23
3754207,4.5087,3.494739966930458,5.0,31
3754209,2.3214,2.615707600535867,3.0,22
3754212,2.8634,2.9380713130486376,5.0,30
3754220,2.9737999999999998,2.88924983697611,3.0,33
3754225,2.6693000000000002,2.178693480004127,2.0,25
3754226,2.3264,2.563208783688787,1.0,25
3754227,3.1042,2.976125866673431,4.0,26
3754228,2.9486,2.6135777631194177,4.0,28
3754230,2.1417,2.3390411389965973,2.0,23
3754244,2.8773,2.831502373602043,4.0,25
3754246,1.6395,1.9059910568316902,2.0,25
3754247,2.5642,2.923393170957522,1.0,32
3754257,4.0966,3.5360373197109003,1.0,31
3754260,2.8099,2.106282803187517,4.0,26
3754262,1.461,2.08875835547752,3.0,19
3754277,3.4007,3.46920427291256,5.0,32
3754278,2.5484,1.7825821325093314,2.0,22
3754280,2.072,2.9965824083146093,3.0,23
3754283,3.426,2.701052320978658,4.0,27
3754285,2.2472,2.635501130974169,2.0,25
3754303,2.7199,3.0641813420939017,2.0,31
3754306,1.8878,1.9490949798813622,2.0,23
3754316,2.3623,1.8826090101291615,4.0,25
3754317,3.6926,3.4651492957395456,3.0,28
3754318,1.9815,2.53834645355179,4.0,36
3754320,3.7896,3.2801170342484234,6.0,21
3754332,1.9636,2.7510321416043317,1.0,33
3754340,3.6884,4.436238327485459,2.0,36
3754341,2.0266,2.1618579214016616,3.0,17
3754342,4.3918,3.9397676722101207,2.0,33
3754343,2.5789,3.0603922630627074,1.0,33
3754344,1.9359,2.044449242300869,2.0,23
3754347,2.5508,2.6329881012302674,0.0,30
3754351,2.3708,2.6184116310803214,3.0,31
3764231,1.9701,2.087492223139324,2.0,21
3775541,1.4525000000000001,2.281143962941976,3.0,15
3775553,2.1948,2.179488662843967,2.0,21
3775554,2.8234,3.1606022098827777,2.0,27
3775565,4.1269,4.03863047319775,6.0,27
3775569,5.3651,5.130249453604919,4.0,32
3775575,3.4181,4.094582661555903,6.0,28
3775584,4.4212,3.760587996067893,3.0,34
3775586,4.2213,3.814608460553021,7.0,22
3775590,2.9879,2.654338173388892,2.0,20
3775591,2.6803,3.17362505627156,2.0,22
3775593,2.8951,3.4154909717316486,5.0,23
3775596,4.0432,3.5868422893893777,3.0,30
3775597,1.7852999999999999,2.0268173279315302,1.0,21
3775598,2.6344,2.6463236545789295,0.0,23
3775613,2.5235,2.6372220772483628,3.0,33
3775616,2.3195,3.1894045124135895,3.0,25
3775622,2.7598,3.2491755244887357,5.0,21
3775623,2.4537,2.6003019312715394,1.0,24
3775626,3.4658,3.5434407853964736,6.0,27
3775632,2.3254,2.6717077803784486,3.0,28
3775634,3.6176,3.1739361507178017,4.0,17
3775642,2.7569,2.943098164663038,2.0,27
3825568,2.7,2.874464428818518,2.0,30
3825575,0.8452000000000001,1.1947318593494782,0.0,19
3825581,5.148,5.0952802139866264,6.0,30
3825584,2.0879,1.7305731150254053,4.0,23
3825585,5.5318,4.736288989900978,5.0,35
3825592,3.3629000000000002,2.872975000135492,5.0,28
3825595,2.5362999999999998,2.341839712021919,4.0,24
3825600,1.7482,1.5274184889493174,0.0,24
3825601,3.7648,3.3316299364358866,3.0,24
3825602,4.1174,5.082435527926385,3.0,35
3825603,1.4178,1.3795269245964616,3.0,18
3825607,1.2736,1.3385229674479127,1.0,15
3825609,1.8528,1.8152814636499361,0.0,25
3825623,3.2199,2.4702502503272976,2.0,17
3825627,7.1495,6.961859925713958,7.0,36
3825630,1.9274,2.383867731408406,4.0,24
3825639,0.6164999999999999,0.773249779002764,0.0,12
3825640,4.4101,3.3984771490603327,4.0,26
3825649,1.8425,2.4600454548897526,1.0,22
3825651,2.7237,2.684861673505219,2.0,19
3825653,2.8091,3.7093360834753817,4.0,25
3825654,3.0136000000000003,3.0980501900597717,6.0,26
